City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Alice Springs,AU,69.8,clear sky,-23.7,133.88,Desert Palms Alice Springs
2,Rikitea,PF,71.96,light rain,-23.12,-134.97,Pension Maro'i
4,Touros,BR,84.2,shower rain,-5.2,-35.46,INN NEW HORIZON
5,Port Alfred,ZA,67.24,scattered clouds,-33.59,26.89,The Halyards Hotel
7,Saint-Philippe,RE,75.2,clear sky,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
8,Hilo,US,75.0,scattered clouds,19.73,-155.09,Hilo Hawaiian Hotel
9,Lorengau,PG,79.39,overcast clouds,-2.02,147.27,Lorengau Harbourside Hotel
10,Victoria,HK,75.0,light rain,22.29,114.16,Mini Hotel Central
15,Atuona,PF,76.93,few clouds,-9.8,-139.03,Villa Enata
16,Abu Dhabi,AE,82.4,clear sky,24.47,54.37,Beach Rotana
18,Lagoa,PT,60.03,overcast clouds,39.05,-27.98,Casa Das Faias
21,Taltal,CL,65.17,scattered clouds,-25.4,-70.48,Residencial Karime
23,Ponta Do Sol,PT,68.0,few clouds,32.67,-17.1,Hotel do Campo
27,Mar Del Plata,AR,68.0,light rain,-38.0,-57.56,Gran Hotel Mar del Plata habitaciones
29,Riosucio,CO,78.8,scattered clouds,5.42,-75.7,Finca Cafe La Ermita
30,Miri,MY,77.0,moderate rain,4.41,114.01,"Mega Hotel, Miri"
33,Kapaa,US,78.8,light rain,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
35,Phangnga,TH,82.99,shower rain,8.45,98.53,Rattanapong Hotel
36,Cape Town,ZA,62.01,broken clouds,-33.93,18.42,Southern Sun Waterfront Cape Town
40,Esperance,AU,64.4,few clouds,-33.87,121.9,Hospitality Esperance
41,Ndola,ZM,78.3,broken clouds,-12.96,28.64,Chabanga Lodge iSpot
44,Malindi,KE,79.36,light rain,-3.22,40.12,African House Resort
46,Vilhena,BR,89.6,scattered clouds,-12.74,-60.15,Hotel Mirage
49,Voh,NC,68.25,clear sky,-20.97,164.7,Le gîte du Koniambo
52,Gizo,SB,82.47,overcast clouds,-8.1,156.84,Imagination Island
53,Hithadhoo,MV,84.27,scattered clouds,-0.6,73.08,Scoop Guest House
55,Avarua,CK,71.6,scattered clouds,-21.21,-159.78,Paradise Inn
56,Puerto Ayora,EC,75.2,scattered clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
58,San-Pedro,CI,79.18,light rain,4.75,-6.64,Hotel Maria
59,Bengkulu,ID,75.79,light rain,-3.8,102.27,Grage Hotel Bengkulu
