City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Cape Town,ZA,2020-11-07 14:16:32,-33.93,18.42,66.2,68,75,32.21
1,Punta Arenas,CL,2020-11-07 14:13:24,-53.15,-70.92,57.2,54,75,18.34
2,Rundu,NA,2020-11-07 14:16:32,-17.93,19.77,101.7,11,19,4.14
3,Erenhot,CN,2020-11-07 14:16:32,43.65,111.98,29.35,76,0,6.69
4,Florida,US,2020-11-07 14:13:08,28.75,-82.5,78.01,88,40,11.41
5,Dikson,RU,2020-11-07 14:16:33,73.51,80.55,-1.88,89,2,9.31
6,Yanggu,CN,2020-11-07 14:16:33,36.11,115.78,54.16,36,0,2.73
7,Georgetown,MY,2020-11-07 14:15:05,5.41,100.34,80.6,88,40,3.36
8,Torbay,CA,2020-11-07 14:16:33,47.67,-52.73,55.0,87,90,41.38
9,Nikolskoye,RU,2020-11-07 14:16:33,59.7,30.79,51.8,71,0,13.42
10,Alofi,NU,2020-11-07 14:16:33,-19.06,-169.92,69.8,88,1,3.36
11,Kruisfontein,ZA,2020-11-07 14:16:33,-34.0,24.73,75.99,49,33,7.0
12,Albany,US,2020-11-07 14:12:58,42.6,-73.97,59.0,87,40,3.36
13,Flinders,AU,2020-11-07 14:16:34,-34.58,150.86,55.99,76,70,10.11
14,Busselton,AU,2020-11-07 14:16:34,-33.65,115.33,60.01,87,18,6.91
15,Castro,BR,2020-11-07 14:16:34,-24.79,-50.01,73.6,36,0,4.85
16,Port Lincoln,AU,2020-11-07 14:16:34,-34.73,135.87,56.62,78,0,17.38
17,Kuusamo,FI,2020-11-07 14:16:34,65.97,29.18,42.8,87,90,18.34
18,Yatou,CN,2020-11-07 14:16:34,37.15,122.38,50.99,53,0,8.21
19,Rikitea,PF,2020-11-07 14:16:34,-23.12,-134.97,72.03,69,38,17.49
20,Mackay,AU,2020-11-07 14:16:35,-21.15,149.2,78.8,78,75,16.11
21,Mahebourg,MU,2020-11-07 14:16:35,-20.41,57.7,75.2,78,20,11.41
22,Hithadhoo,MV,2020-11-07 14:16:35,-0.6,73.08,83.34,75,97,11.92
23,Mataura,NZ,2020-11-07 14:16:35,-46.19,168.86,43.0,94,100,1.01
24,Khash,IR,2020-11-07 14:16:35,28.22,61.22,62.83,27,0,8.46
25,Zemio,CF,2020-11-07 14:16:35,5.03,25.14,79.52,81,100,2.28
26,Ayan,RU,2020-11-07 14:16:35,56.45,138.17,14.32,85,99,17.29
27,Talnakh,RU,2020-11-07 14:16:36,69.49,88.4,14.0,78,75,15.66
28,Hilo,US,2020-11-07 14:16:36,19.73,-155.09,72.0,83,90,6.93
29,Tuktoyaktuk,CA,2020-11-07 14:16:36,69.45,-133.04,26.01,96,100,21.47
30,Ushuaia,AR,2020-11-07 14:16:36,-54.8,-68.3,55.4,35,75,20.8
31,Lagoa,PT,2020-11-07 14:16:36,39.05,-27.98,61.52,70,5,20.96
32,Deputatskiy,RU,2020-11-07 14:16:36,69.3,139.9,-9.45,90,78,2.55
33,Barrow,US,2020-11-07 14:16:36,71.29,-156.79,30.2,86,90,20.8
34,Meulaboh,ID,2020-11-07 14:16:36,4.14,96.13,77.88,82,100,1.99
35,Verkhoyansk,RU,2020-11-07 14:16:36,67.54,133.38,-24.39,82,99,1.61
36,Avarua,CK,2020-11-07 14:16:37,-21.21,-159.78,68.0,100,100,3.36
37,Mataram,ID,2020-11-07 14:15:55,-8.58,116.12,78.8,83,40,6.73
38,Jamestown,US,2020-11-07 14:16:37,42.1,-79.24,46.4,81,1,6.93
39,Pudozh,RU,2020-11-07 14:16:37,61.81,36.53,41.92,88,100,10.58
40,Batagay,RU,2020-11-07 14:16:37,67.63,134.63,-25.38,83,100,1.34
41,Saskylakh,RU,2020-11-07 14:16:37,71.92,114.08,-8.16,90,6,5.84
42,Zhuanghe,CN,2020-11-07 14:16:37,39.7,122.99,51.01,31,0,3.0
43,Kutum,SD,2020-11-07 14:16:37,14.2,24.67,82.71,16,22,10.2
44,Nome,US,2020-11-07 14:13:40,64.5,-165.41,37.4,86,75,16.11
45,New Norfolk,AU,2020-11-07 14:16:38,-42.78,147.06,45.0,62,1,2.62
46,Vitim,RU,2020-11-07 14:16:38,59.45,112.56,5.68,93,99,5.77
47,Waipawa,NZ,2020-11-07 14:16:38,-41.41,175.52,61.0,93,100,1.12
48,Chor,PK,2020-11-07 14:16:38,25.52,69.77,83.73,19,0,7.4
49,Cidreira,BR,2020-11-07 14:16:38,-30.18,-50.21,70.72,73,21,14.85
50,Hobart,AU,2020-11-07 14:16:38,-42.88,147.33,45.0,75,0,6.93
51,Saldanha,ZA,2020-11-07 14:16:38,-33.01,17.94,68.0,60,1,18.34
52,Batticaloa,LK,2020-11-07 14:16:38,7.71,81.69,81.91,79,36,8.37
53,Ahipara,NZ,2020-11-07 14:16:39,-35.17,173.17,63.14,92,52,15.79
54,Solnechnyy,RU,2020-11-07 14:16:39,50.72,136.63,21.38,90,100,4.41
55,Ketchikan,US,2020-11-07 14:16:39,55.34,-131.65,37.4,86,20,6.93
56,Puerto Narino,CO,2020-11-07 14:16:39,-3.77,-70.38,84.2,83,75,4.7
57,Port Alfred,ZA,2020-11-07 14:16:39,-33.59,26.89,73.99,68,24,18.81
58,Kapaa,US,2020-11-07 14:16:39,22.08,-159.32,78.8,78,1,12.75
59,Luderitz,NA,2020-11-07 14:16:39,-26.65,15.16,68.43,65,4,11.16
60,Bambanglipuro,ID,2020-11-07 14:12:51,-7.95,110.28,78.66,81,36,3.56
61,Papaya,PH,2020-11-07 14:16:39,15.32,120.84,78.8,88,90,4.7
62,Tasiilaq,GL,2020-11-07 14:16:40,65.61,-37.64,28.4,92,90,3.36
63,Okhotsk,RU,2020-11-07 14:16:40,59.38,143.3,12.09,89,87,13.6
64,Atuona,PF,2020-11-07 14:16:40,-9.8,-139.03,76.51,75,57,17.65
65,Faanui,PF,2020-11-07 14:16:40,-16.48,-151.75,78.82,76,0,8.72
66,Hermanus,ZA,2020-11-07 14:16:40,-34.42,19.23,71.01,51,6,15.01
67,Wajir,KE,2020-11-07 14:16:40,1.75,40.06,84.83,55,81,4.29
68,San Cristobal,VE,2020-11-07 14:16:41,7.77,-72.22,77.0,94,75,4.7
69,Lasa,IT,2020-11-07 14:13:53,46.62,10.7,57.0,57,5,8.05
70,Victoria,HK,2020-11-07 14:12:05,22.29,114.16,80.01,51,11,4.0
71,Cabo San Lucas,MX,2020-11-07 14:12:25,22.89,-109.91,69.8,88,5,1.99
72,Ponta Do Sol,PT,2020-11-07 14:16:41,32.67,-17.1,71.6,64,40,16.11
73,Pangnirtung,CA,2020-11-07 14:16:41,66.15,-65.71,14.0,85,90,9.17
74,Araouane,ML,2020-11-07 14:16:41,18.9,-3.53,94.39,10,85,13.35
75,Kavieng,PG,2020-11-07 14:16:41,-2.57,150.8,82.83,65,93,7.45
76,Kota Belud,MY,2020-11-07 14:16:41,6.35,116.43,80.6,88,20,3.36
77,Karratha,AU,2020-11-07 14:16:15,-20.74,116.85,76.59,59,0,17.69
78,Ocos,GT,2020-11-07 14:16:42,14.51,-92.19,77.0,100,75,13.11
