City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Alice Springs,AU,-23.7,133.88,69.8,22,0,4.7,clear sky
1,Chokurdakh,RU,70.63,147.92,-9.6,92,100,2.19,overcast clouds
2,Rikitea,PF,-23.12,-134.97,71.96,79,92,17.9,light rain
3,Mataura,NZ,-46.19,168.86,48.99,92,75,1.74,broken clouds
4,Touros,BR,-5.2,-35.46,84.2,70,75,17.22,shower rain
5,Port Alfred,ZA,-33.59,26.89,67.24,70,28,8.97,scattered clouds
6,Kholodnyy,RU,62.72,147.95,-5.42,88,98,4.16,overcast clouds
7,Saint-Philippe,RE,-21.36,55.77,75.2,78,0,14.99,clear sky
8,Hilo,US,19.73,-155.09,75.0,83,40,5.82,scattered clouds
9,Lorengau,PG,-2.02,147.27,79.39,77,94,3.47,overcast clouds
10,Victoria,HK,22.29,114.16,75.0,76,72,3.0,light rain
11,Luderitz,NA,-26.65,15.16,62.8,77,0,23.2,clear sky
12,Adrar,MR,20.5,-10.07,88.81,12,0,6.55,clear sky
13,Jumla,NP,29.27,82.18,43.02,60,0,3.06,clear sky
14,Caconda,AO,-13.73,15.07,63.82,77,81,11.65,broken clouds
15,Atuona,PF,-9.8,-139.03,76.93,75,21,14.88,few clouds
16,Abu Dhabi,AE,24.47,54.37,82.4,78,0,8.05,clear sky
17,Geraldton,AU,-28.77,114.6,57.2,87,75,4.7,broken clouds
18,Lagoa,PT,39.05,-27.98,60.03,64,91,11.68,overcast clouds
19,Albany,US,42.6,-73.97,69.01,40,19,2.37,few clouds
20,Bereznik,RU,62.86,42.71,35.33,88,99,13.67,overcast clouds
21,Taltal,CL,-25.4,-70.48,65.17,58,28,6.38,scattered clouds
22,Slavicin,CZ,49.09,17.87,42.01,94,0,0.67,clear sky
23,Ponta Do Sol,PT,32.67,-17.1,68.0,64,20,5.82,few clouds
24,Lisakovsk,KZ,52.54,62.49,35.13,83,75,23.13,broken clouds
25,Yellowknife,CA,62.46,-114.35,23.0,92,75,4.7,broken clouds
26,Saskylakh,RU,71.92,114.08,-10.61,87,0,11.16,clear sky
27,Mar Del Plata,AR,-38.0,-57.56,68.0,82,40,8.05,light rain
28,Klaksvik,FO,62.23,-6.59,42.8,87,100,5.82,overcast clouds
29,Riosucio,CO,5.42,-75.7,78.8,65,40,3.36,scattered clouds
30,Miri,MY,4.41,114.01,77.0,94,40,3.36,moderate rain
31,Codrington,AU,-38.27,141.97,50.94,88,65,7.27,broken clouds
32,Punta Arenas,CL,-53.15,-70.92,57.2,54,40,26.4,scattered clouds
33,Kapaa,US,22.08,-159.32,78.8,78,75,14.99,light rain
34,Lavrentiya,RU,65.58,-171.0,25.25,94,45,5.37,scattered clouds
35,Phangnga,TH,8.45,98.53,82.99,88,75,5.82,shower rain
36,Cape Town,ZA,-33.93,18.42,62.01,67,75,11.41,broken clouds
37,Sitka,US,57.05,-135.33,41.0,75,90,10.29,light rain
38,Upernavik,GL,72.79,-56.15,-1.95,74,0,7.2,clear sky
39,Thompson,CA,55.74,-97.86,12.2,85,75,10.29,light snow
40,Esperance,AU,-33.87,121.9,64.4,77,13,14.99,few clouds
41,Ndola,ZM,-12.96,28.64,78.3,18,58,8.01,broken clouds
42,Nikolskoye,RU,59.7,30.79,36.0,74,0,13.42,clear sky
43,Kristianstad,SE,56.03,14.15,48.0,93,14,4.7,few clouds
44,Malindi,KE,-3.22,40.12,79.36,83,2,11.05,light rain
45,Ushuaia,AR,-54.8,-68.3,55.4,47,40,26.4,shower rain
46,Vilhena,BR,-12.74,-60.15,89.6,49,40,9.17,scattered clouds
47,Bredasdorp,ZA,-34.53,20.04,57.2,82,63,9.17,broken clouds
48,Torbay,CA,47.67,-52.73,39.0,51,20,19.46,few clouds
49,Voh,NC,-20.97,164.7,68.25,83,3,7.43,clear sky
50,Norman Wells,CA,65.28,-126.83,15.8,92,75,8.05,broken clouds
51,Aklavik,CA,68.22,-135.01,8.6,84,40,3.36,scattered clouds
52,Gizo,SB,-8.1,156.84,82.47,74,92,5.91,overcast clouds
53,Hithadhoo,MV,-0.6,73.08,84.27,72,40,7.99,scattered clouds
54,Tiksi,RU,71.69,128.87,-7.08,92,49,2.62,scattered clouds
55,Avarua,CK,-21.21,-159.78,71.6,88,44,1.12,scattered clouds
56,Puerto Ayora,EC,-0.74,-90.35,75.2,73,40,18.34,scattered clouds
57,Barrow,US,71.29,-156.79,17.6,78,90,20.8,light snow
58,San-Pedro,CI,4.75,-6.64,79.18,87,75,6.89,light rain
59,Bengkulu,ID,-3.8,102.27,75.79,93,100,8.01,light rain
60,Khatanga,RU,71.97,102.5,9.75,91,100,19.39,overcast clouds
61,Jamestown,US,42.1,-79.24,71.01,39,1,4.7,clear sky
62,Hobart,AU,-42.88,147.33,46.0,93,6,8.05,clear sky
63,Nizwa,OM,22.93,57.53,73.27,55,66,5.82,broken clouds
64,Banting,MY,2.82,101.5,78.8,100,40,4.7,scattered clouds
65,Pachmarhi,IN,22.47,78.43,56.03,43,0,2.53,clear sky
66,Butaritari,KI,3.07,172.79,81.0,67,25,7.43,scattered clouds
67,Traverse City,US,44.76,-85.62,71.6,49,20,9.17,few clouds
68,Georgetown,MY,5.41,100.34,77.0,94,40,3.36,light rain
69,Mahebourg,MU,-20.41,57.7,73.4,94,75,6.93,broken clouds
70,Madisonville,US,37.33,-87.5,81.0,39,1,10.29,clear sky
71,San Cristobal,VE,7.77,-72.22,82.4,65,40,4.7,scattered clouds
72,Busselton,AU,-33.65,115.33,57.99,74,32,11.83,light rain
73,Tuktoyaktuk,CA,69.45,-133.04,14.0,92,40,4.7,scattered clouds
74,Carnarvon,AU,-24.87,113.63,69.8,73,90,10.29,overcast clouds
75,Qaanaaq,GL,77.48,-69.36,-6.88,72,82,11.63,broken clouds
76,Talant,FR,47.34,5.01,57.2,87,90,4.7,overcast clouds
77,Dikson,RU,73.51,80.55,2.75,94,99,11.14,overcast clouds
78,Caravelas,BR,-17.71,-39.25,81.79,67,100,9.53,overcast clouds
79,Asyut,EG,27.18,31.18,71.6,46,0,4.7,clear sky
80,Portland,US,45.52,-122.68,43.0,69,20,5.82,few clouds
81,Guerrero Negro,MX,27.98,-114.06,67.89,51,30,14.67,scattered clouds
82,Khorinsk,RU,52.17,109.77,28.36,96,99,5.53,overcast clouds
83,Leningradskiy,RU,69.38,178.42,18.1,96,100,5.35,overcast clouds
84,Bluff,NZ,-46.6,168.33,48.99,92,83,4.88,broken clouds
85,Chapleau,CA,47.84,-83.4,60.8,63,5,11.41,clear sky
86,Progreso,MX,21.28,-89.67,86.0,66,75,10.29,broken clouds
87,Pangnirtung,CA,66.15,-65.71,12.2,72,90,3.36,overcast clouds
88,Lamu,KE,-2.27,40.9,80.6,83,20,4.7,few clouds
89,Cherskiy,RU,68.75,161.3,3.54,94,99,0.09,overcast clouds
90,Vaini,TO,-21.2,-175.2,71.6,88,20,15.3,few clouds
91,Tigil,RU,57.8,158.67,23.18,86,0,1.63,clear sky
92,Provideniya,RU,64.38,-173.3,27.52,96,99,11.21,overcast clouds
93,Comodoro Rivadavia,AR,-45.87,-67.5,77.0,27,0,13.87,clear sky
94,San Patricio,US,28.02,-97.52,82.99,58,75,6.93,broken clouds
95,Anadyr,RU,64.75,177.48,1.4,84,0,2.24,clear sky
96,Cidreira,BR,-30.18,-50.21,70.27,77,91,14.61,overcast clouds
97,Ponta Delgada,PT,37.73,-25.67,62.6,72,20,11.41,few clouds
98,Ravar,IR,31.27,56.81,61.14,29,40,7.81,scattered clouds
99,Maceio,BR,-9.67,-35.74,86.0,51,40,3.36,scattered clouds
100,Bambanglipuro,ID,-7.95,110.28,78.01,83,81,3.58,broken clouds
101,Forio,IT,40.73,13.86,64.0,77,5,2.24,clear sky
102,Witu,KE,-2.39,40.44,80.6,83,20,4.7,few clouds
103,Youkounkoun,GN,12.53,-13.13,90.46,24,0,0.47,clear sky
104,New Norfolk,AU,-42.78,147.06,46.0,77,4,2.46,clear sky
105,Port Lincoln,AU,-34.73,135.87,63.63,62,37,13.42,light rain
106,Marawi,PH,8.0,124.29,75.99,91,100,1.99,overcast clouds
107,Faanui,PF,-16.48,-151.75,78.37,76,0,13.11,light rain
108,Souillac,MU,-20.52,57.52,73.4,94,75,6.93,broken clouds
109,Walvis Bay,NA,-22.96,14.51,66.2,68,1,17.22,clear sky
110,Flinders,AU,-34.58,150.86,59.0,83,78,1.01,broken clouds
111,Lompoc,US,34.64,-120.46,55.4,62,40,14.99,scattered clouds
112,Fairbanks,US,64.84,-147.72,32.0,94,90,8.05,overcast clouds
113,Alta Floresta,BR,-9.88,-56.09,87.8,66,40,4.7,scattered clouds
114,Talnakh,RU,69.49,88.4,23.0,92,75,24.61,light shower snow
115,Beidao,CN,34.57,105.89,47.26,66,27,2.46,scattered clouds
116,Ucluelet,CA,48.93,-125.55,45.0,39,5,6.93,clear sky
117,Blessington,IE,53.17,-6.53,54.0,81,20,5.82,few clouds
118,Atar,MR,20.52,-13.05,95.2,11,34,11.77,scattered clouds
119,Sabang,ID,5.89,95.32,81.41,75,97,2.57,overcast clouds
120,Kutum,SD,14.2,24.67,72.75,24,0,11.32,clear sky
121,Port Blair,IN,11.67,92.75,80.82,83,7,7.0,light rain
122,Teguise,ES,29.06,-13.56,71.6,68,20,9.17,few clouds
123,Sinnamary,GF,5.38,-52.95,85.44,66,60,14.27,broken clouds
124,Ahipara,NZ,-35.17,173.17,55.42,82,26,11.95,scattered clouds
125,Tukrah,LY,32.53,20.58,65.77,67,19,13.69,few clouds
126,Tilichiki,RU,60.47,166.1,11.03,94,97,11.9,overcast clouds
127,Toora-Khem,RU,52.47,96.11,27.14,96,1,2.28,clear sky
128,Khani,GE,41.96,42.96,50.0,93,0,9.17,clear sky
129,Kalabo,ZM,-14.97,22.68,85.06,32,45,4.14,scattered clouds
